phrase,df_total,df_Belek,df_Algarve,prev_Belek,prev_Algarve,logodds_B_vs_A,z_B_vs_A,lift_Belek,with_B,without_B,lift_Algarve,with_A,without_A
room cleaning,16,13,3,0.005163,0.001134,1.3634473892149899,2.2247386405742646,-0.3989,13,2505,0.0752,3,2642
room in the hotel,13,2,11,0.000794,0.004159,-1.6284622509082016,-2.236631581530092,-0.2047,2,2516,-0.2593,11,2634
san lorenzo golf,38,0,38,0.0,0.014367,-3.9354141300929424,-3.43459587454198,,0,0,-0.2086,38,2607
sea view,71,54,17,0.021446,0.006427,1.0766309807638548,4.00598904609184,-0.3415,54,2464,-0.2007,17,2628
sea view room,16,15,1,0.005957,0.000378,2.4224392901573903,2.6771802210328763,-0.3734,15,2503,-0.2583,1,2644
self catering,15,0,15,0.0,0.005671,-3.9349561880459607,-2.15763975653795,,0,0,0.3437,15,2630
several pool,24,6,18,0.002383,0.006805,-1.0715760895672588,-2.3487510887646565,0.1291,6,2512,-0.0362,18,2627
short break,16,3,13,0.001191,0.004915,-1.412328373017397,-2.3044977968972025,-0.0379,3,2515,-0.1049,13,2632
short distance,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,-0.7048,1,2517,0.6328,9,2636
short drive,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,-0.2047,2,2516,0.0755,12,2633
short taxi ride,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,-0.7048,1,2517,0.2425,8,2637
short walk,34,10,24,0.003971,0.009074,-0.8615363897404977,-2.353590224458487,-0.0045,10,2508,0.2019,24,2621
shuttle bus,86,29,57,0.011517,0.02155,-0.6722806092480766,-3.0207498167346043,0.1245,29,2489,0.3278,57,2588
single day,10,9,1,0.003574,0.000378,2.009377011136378,2.073736074343444,-0.1495,9,2509,-1.2587,1,2644
sister hotel,25,24,1,0.009531,0.000378,2.7622707516467733,3.2955512836023333,-0.0803,24,2494,0.7421,1,2644
site restaurant,15,1,14,0.000397,0.005293,-2.417928630160395,-2.6457586661351993,0.2956,1,2517,0.3867,14,2631
slow play,13,2,11,0.000794,0.004159,-1.6284622509082016,-2.236631581530092,-0.2047,2,2516,-0.807,11,2634
small shop,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,0.2956,1,2517,0.2427,10,2635
snack bar,42,35,7,0.0139,0.002647,1.4940663304752304,3.7932880170502616,0.0389,35,2483,-0.2589,7,2638
so much choice,38,30,8,0.011914,0.003025,1.2306244773450583,3.2159939959377253,0.1641,30,2488,0.3679,8,2637
special mention,128,97,31,0.038523,0.01172,1.063129694365072,5.32997534371947,0.1572,97,2421,0.2936,31,2614
special thank,103,91,12,0.03614,0.004537,1.8642352298695082,6.52482005956838,0.2495,91,2427,0.494,12,2633
speciality restaurant,14,14,0,0.00556,0.0,3.8860562943938497,2.0585741287446986,-0.2057,14,2504,,0,0
spectacular view,13,2,11,0.000794,0.004159,-1.6284622509082016,-2.236631581530092,0.2957,2,2516,0.2884,11,2634
standard room,37,29,8,0.011517,0.003025,1.1992189616662428,3.1192546784270756,0.0198,29,2489,-0.1336,8,2637
star hotel,179,60,119,0.023828,0.044991,-0.6815040267333305,-4.4118716354281,-0.4998,60,2458,-0.6752,119,2526
star resort,66,13,53,0.005163,0.020038,-1.356963900886301,-4.572020703341581,-1.4814,13,2505,-0.7834,53,2592
star review,14,3,11,0.001191,0.004159,-1.2584373904882575,-2.00765535134029,-0.0379,3,2515,-0.168,11,2634
star service,20,5,15,0.001986,0.005671,-1.071535780064302,-2.144025933894071,-0.7059,5,2513,-0.9972,15,2630
start to finish,21,17,4,0.006751,0.001512,1.3457147234154414,2.529017603999119,0.0014,17,2501,0.7429,4,2641
steak restaurant,35,34,1,0.013503,0.000378,2.9836294946443154,3.814859256355956,0.0908,34,2484,-1.2587,1,2644
sun lounger,86,28,58,0.01112,0.021928,-0.7222473568623027,-3.219122770872533,0.0099,28,2490,-0.1759,58,2587
swimming pool,177,55,122,0.021843,0.046125,-0.787995060890788,-4.981732754695862,0.0233,55,2463,0.1332,122,2523
taxi ride,17,1,16,0.000397,0.006049,-2.520506841304913,-2.8123166976972747,0.2956,1,2517,0.1175,16,2629
tea making facility,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,-0.259,8,2637
tennis court,138,18,120,0.007149,0.045369,-1.8012233300627,-7.600087927661924,0.2976,18,2500,0.1049,120,2525
too much trouble,129,80,49,0.031771,0.018526,0.4463564836921732,2.5162596126262566,0.2148,80,2438,0.3815,49,2596
top class,34,24,10,0.009531,0.003781,0.8126464064999643,2.220030008083276,0.2142,24,2494,0.6442,10,2635
top quality,35,26,9,0.010326,0.003403,0.9874036648621347,2.635574380744857,0.182,26,2492,0.4098,9,2636
top tip,12,11,1,0.004369,0.000378,2.17629604522636,2.3043930805809065,-0.0685,11,2507,-0.2583,1,2644
tumble dryer,17,0,17,0.0,0.006427,-3.9349960111524025,-2.2970061720788406,,0,0,0.1545,17,2628
turkish bath,23,19,4,0.007546,0.001512,1.447295568962045,2.7595759781080607,-0.1265,19,2499,0.2421,4,2641
twin bedroom,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,-0.3844,8,2637
twin room,17,3,14,0.001191,0.005293,-1.4800011030173863,-2.438312952229748,0.2958,3,2515,-0.3314,14,2631
view over the golf,51,10,41,0.003971,0.015501,-1.3619726531610263,-4.0277666532026855,0.0959,10,2508,0.1341,41,2604
visit to the hotel,10,9,1,0.003574,0.000378,2.009377011136378,2.073736074343444,0.0735,9,2509,0.7421,1,2644
walk to the beach,29,8,21,0.003177,0.00794,-0.9461256741412951,-2.3457049700686303,-0.456,8,2510,0.2677,21,2624
walking distance,30,3,27,0.001191,0.010208,-2.05857447573395,-3.679758052792448,0.2958,3,2515,0.1507,27,2618
washing machine,61,4,57,0.001589,0.02155,-2.43249697801732,-5.336856202420636,0.2959,4,2514,0.1306,57,2588
water park,93,84,9,0.03336,0.003403,2.0413198119353098,6.349057746619557,-0.0515,84,2434,-0.2591,9,2636
welcome drink,22,5,17,0.001986,0.006427,-1.1884263325396347,-2.421832032967889,-0.3051,5,2513,0.1545,17,2628
well equipped kitchen,13,0,13,0.0,0.004915,-3.9349163606234043,-2.0086329687546978,,0,0,0.2043,13,2632
well value,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,-1.7052,1,2517,-0.1336,8,2637
whole resort,20,4,16,0.001589,0.006049,-1.3388735447984406,-2.4959024040032034,0.0455,4,2514,0.1804,16,2629
whole team,10,9,1,0.003574,0.000378,2.009377011136378,2.073736074343444,0.185,9,2509,0.7421,1,2644
winter season,10,9,1,0.003574,0.000378,2.009377011136378,2.073736074343444,0.2965,9,2509,-0.2583,1,2644
wonderful experience,21,16,5,0.006354,0.00189,1.0830231071089713,2.1878120164773196,-0.0171,16,2502,0.5428,5,2640
wonderful hotel,25,20,5,0.007943,0.00189,1.2900482764139598,2.6887412397214225,0.2978,20,2498,0.3424,5,2640
wonderful service,14,12,2,0.004766,0.000756,1.6573278510022487,2.3009760808947832,0.1294,12,2506,0.242,2,2643
wow factor,12,10,2,0.003971,0.000756,1.493680693126553,2.027074384209378,-0.5065,10,2508,0.242,2,2643
young child,64,23,41,0.009134,0.015501,-0.5789678185473681,-2.2748615938808125,-0.0967,23,2495,-0.2623,41,2604
young kid,18,1,17,0.000397,0.006427,-2.5660195352692163,-2.8896341670068995,0.2956,1,2517,-0.0231,17,2628
